did,handle,description
did:plc:fodafbiblocsyzbjur5apzrs,lovelivestaff.bsky.social,"Apparently the official staff account, likely being used for handle parking"
did:plc:yfmm2mamtdjxyp4pbvdigpin,lovelivenews.bsky.social,"Unofficial LoveLive news posting in English"
did:plc:uctkop2pledd77wdegy6pdd7,lovelivebrasil.bsky.social,"Unofficial LoveLive news posting in Portugese"
did:plc:c72bbgxkx3itiozlcvizdf5m,dailylovelive.bsky.social,"Posts LoveLive pics daily, ran by the same person behind @lovelivenews.bsky.social"
did:plc:jjy4j33whlyfqpf7xrpdkyer,dailyrinhoshizora.bsky.social,"Daily Rin Hoshizora by @mareve44.bsky.social"
did:plc:wk7culg44mu6ubvzaamcavah,dailykeke.bsky.social,"Daily Keke Tang by @cobalon.bsky.social"
did:plc:5nfva4n2l26gemyhuntiv75c,liellahourly.bsky.social,"Liella Hourly by @donodeluxe.bsky.social"
did:plc:i7wxuorsitce564op4mdg67z,lovelivecardsdaily.bsky.social,"Daily Love Live! Cards"
did:plc:6pshfm66yaer5bzids64vyp7,dailychikariko.bsky.social,"Daily Chika x Riko pics"
did:plc:ssb6nlrdttxcvkr4ldilaypl,dailyyohane.bsky.social,"Daily Yohane/Yoshiko Tsushima pics"
did:plc:b3l2trq76fhfbvowk77g3d2z,scramble2021.bsky.social,"\"6:20am - Shibuya Kanon has woken up...\" (JP/EN)"
did:plc:mw3ppc4ztsbwqpmvh7ln5hyk,dailyoharas.bsky.social,"Daily Mari Ohara by @protoestrela.bsky.social"
did:plc:qvehvdpabkodw3rmf4iaoqh3,hourlyayumu.bsky.social,"Posts Ayumu Uehara pics irregularly"
did:plc:u6u7ut6fuagcmuvfwiazcevh,loveliveidolracers.bsky.social,"Love Live! Idol Racing League (fantasy NASCAR account)"
did:plc:e2t3fyjj2ozdl45aievcgdj3,llsongotd-reload.bsky.social,"Love Live Song of the Day RELOAD (ES)"
did:plc:ask7n6q4ttseeiuurj2unnuw,yousoroposting.bsky.social,"Daily You Watanabe by @phleanime.bsky.social"
did:plc:iqua2sx5toigv3fzc3jtytld,daily-watanab.bsky.social,"Daily You Watanabe by @rokiin.bsky.social"
did:plc:at746otrujvgvdmykrtgsdq5,lovelive-cal.bsky.social,"Upcoming LoveLive event reminders (JP)"
did:plc:xpt7f5s6eif7bklpgficgefv,liellayearly.bsky.social,"Liella Yearly"
did:plc:s2va3sf7aejlmso4g2yq4msx,schoolidolpage.bsky.social,"School Idol Page - a LoveLive posting account"
