did,handle,description
did:plc:2eetyecosvulnq2wllinkigh,tsukune1ichi.bsky.social,"Posts mainly LoveLive fan art from all series"
did:plc:5hrjuhlvxl3ew3o5pycmp2ku,taiga0601.bsky.social,"Mostly Aqours/Yohane the Parhelion fan art"
did:plc:ur4gwftrowzvmtmuotojl44s,prapra4835.bsky.social,"Nijigasaki fan art and comics (WARNING: some posts contain bondage or ecchi stuff)"
did:plc:jufrod2d6txss5l7zxyx3wgi,doyourrubesty.bsky.social,"Mostly Ruby fan art/pics"
did:plc:vjp5qmo4dxww5xxgkxsqlqk7,kuzia-y.bsky.social,"Hasunosora fan art"
did:plc:5pyl2lqcougqbrfib4tl2z6c,tiguhagumetro.bsky.social,"Hasunosora fan art"
did:plc:qv2ytvwnjb76e3syo2yxrndz,marchen-mozuku.bsky.social,"Nijigasaki fan art"
did:plc:xtopq4phczpdyl4kv7z5uhkh,3nu.bsky.social,"Mostly Nijigasaki fan art/comics featuring Shizuku and Setsuna"
did:plc:q7pbvb4sqcls2iggn5u57kzz,miyamaki.bsky.social,"Nijigasaki/Hasunosora fan art"
did:plc:hvadswoekdgkiqaxxbytbtpr,atabe16.bsky.social,"Nijigasaki/Liella/Hasunosora fan art (WARNING: some posts not included in feed are NSFW/R18)"
did:plc:j3kjswiavm5ixq7vkdeaznj7,kandukilily.bsky.social,"Mostly Hasunosora pics/fan art and sometimes other LL groups"
did:plc:7zsqikdjppjczb6cfc3bmse6,splater765.bsky.social,"Posts at least ""Goodnight everyone!"" with a random LoveLive anime screenshot daily (not a bot)"
did:plc:c3lpd436dqoo3jqxgjdpjnnj,ren854.bsky.social,"Nijigasaki fan art"
did:plc:5jth3wf55wqrc5eqz6ysin3g,dhunog.bsky.social,"Usually Tomari/Shioriko artwork"
did:plc:2d3jaayhfcderawccnc6pq4x,s8403.bsky.social,"Mostly Liella/Hasunosora/LoveLive seiyuu fan art"
did:plc:cqkogs3hzodbz3z46pfeukyv,rowkeyrow.bsky.social,"Mostly Liella fan art/pics with some Aqours stuff"
did:plc:3bzuzwmin3psfc22kfhizemb,ketalow-tension.bsky.social,"Mainly Nijigasaki/Ikizulive fan art (WARNING: some posts may be borderline NSFW/R18/ecchi)"
did:plc:bn33j4mkpwso4kxseyv7lu34,nomain-nj.bsky.social,"Side account of @nomain050.bsky.social posting Nijigasaki furry artwork"
